snapped_at,price,market_cap,total_volume
1367107200,135.3,1500517590,0
1367193600,141.96,1575032004,0
1367280000,135.3,1501657493,0
1367366400,117,1298951550,0
1367452800,103.43,1148667722,0
1367539200,91.01,1011066494,0
1367625600,111.25,1236351844,0
1367712000,116.79,1298377788,0
1367798400,118.33,1315992304,0
1367884800,106.4,1183766500,0
1367971200,112.64,1253655040,0
1368057600,113,1258130700,0
1368144000,118.78,1322989457,0
1368230400,113.01,1259239352,0
1368316800,114.713,1278708679,0
1368403200,117.18,1306721052,0
1368489600,114.5,1277278988,0
1368576000,114.156,1273849681,0
1368662400,115.5,1289277412,0
1368748800,123.1,1374605382,0
1368835200,123.88,1383755085,0
1368921600,120.501,1346499262,0
1369008000,122.58,1370131821,0
1369094400,122.9,1374154118,0
1369180800,123,1375791900,0
1369267200,125.748,1407041528,0
1369353600,131.7,1474180657,0
1369440000,130.77,1464316690,0
1369526400,134.6,1507769010,0
1369612800,128.985,1445444606,0
1369699200,129.179,1448115967,0
1369785600,132.13,1481781795,0
1369872000,127.401,1429308634,0
1369958400,127.98,1436386730,0
1370044800,129.09,1449499974,0
1370131200,121.3,1362684200,0
1370217600,121.16,1361765704,0
1370304000,121.309,1364113640,0
1370390400,121.714,1369233814,0
1370476800,119,1339234925,0
1370563200,110.09,1239395972,0
1370649600,108.401,1220874393,0
1370736000,99.7497,1123844958,0
1370822400,105.99,1194605341,0
1370908800,108.9,1227904672,0
1370995200,108.4,1222819750,0
1371081600,102.769,1159766150,0
1371168000,98.399,1110902570,0
1371254400,99.99,1129287060,0
1371340800,100.42,1134610433,0
1371427200,102,1152834600,0
1371513600,106.55,1204638318,0
1371600000,107.9,1220273470,0
1371686400,110.91,1254733148,0
1371772800,109.015,1233750009,0
1371859200,107.25,1214260369,0
1371945600,108,1223181000,0
1372032000,102.443,1160635652,0
1372118400,103.691,1175194910,0
1372204800,103.39,1172207388,0
1372291200,99.66,1130338737,0
1372377600,93.3311,1058953327,0
1372464000,95.3886,1082693996,0
1372550400,97.504,1107084792,0
1372636800,89.489,1016445146,0
1372723200,90.797,1031653673,0
1372809600,78.8,895707780,0
1372896000,78.48,892405890,0
1372982400,67.809,771368060,0
1373068800,68.0831,774804401,0
1373155200,77.502,882356395,0
1373241600,76.3915,870081997,0
1373328000,77,877378425,0
1373414400,85.75,977479256,0
