snapped_at,price,market_cap,total_volume
1375574400,0.00587384,45921034,0
1375660800,0.00565258,44191247,0
1375747200,0.00466886,36500633,0
1375833600,0.00448605,35071445,0
1375920000,0.00419553,32800191,0
1376006400,0.00427738,33440085,0
1376092800,0.00431834,33760306,0
1376179200,0.00437208,34180440,0
1376265600,0.00439693,34374714,0
1376352000,0.0042276,33050911,0
1376438400,0.00384587,30066588,0
1376524800,0.00332756,26014497,0
1376611200,0.0029013,22682044,0
1376697600,0.00549521,42960946,0
1376784000,0.00619764,48452466,0
1376870400,0.00555976,43465591,0
1376956800,0.00606081,47382745,0
1377043200,0.00633807,49550333,0
1377129600,0.0059671,46650130,0
1377216000,0.0051352,40146428,0
1377302400,0.00552798,43217138,0
1377388800,0.00609973,47687017,0
1377475200,0.0064659,50549694,0
1377561600,0.00641998,50190696,0
1377648000,0.00634881,49634297,0
1377734400,0.00582002,45500275,0
1377820800,0.00604502,47259300,0
1377907200,0.00586333,45838868,0
1377993600,0.00580064,45348764,0
1378080000,0.00562712,43992204,0
1378166400,0.00567312,44351827,0
1378252800,0.005577,43600371,0
1378339200,0.00583863,45645766,0
1378425600,0.0059111,46212328,0
1378512000,0.006188,48377102,0
1378598400,0.00614238,48020450,0
1378684800,0.00618881,48383435,0
1378771200,0.00585396,45765614,0
1378857600,0.00608146,47544184,0
1378944000,0.00642623,50239558,0
1379030400,0.0065889,51511294,0
1379116800,0.00634135,49575975,0
1379203200,0.0064294,50264341,0
1379289600,0.00704318,55062805,0
1379376000,0.00961002,75130077,0
1379462400,0.0108464,84795960,0
1379548800,0.0111217,86948225,0
1379635200,0.0101137,79067792,0
1379721600,0.00974518,76186743,0
1379808000,0.0104008,81312308,0
1379894400,0.0100193,78329783,0
1379980800,0.010433,81564044,0
1380067200,0.0105899,82790671,0
1380153600,0.011676,91281681,0
1380240000,0.0143469,112162483,0
1380326400,0.0141405,110548871,0
1380412800,0.0110409,86316539,0
1380499200,0.0119368,93320587,0
1380585600,0.00930593,72752735,0
1380672000,0.00840092,65677467,0
1380758400,0.00946689,74011103,0
1380844800,0.0092795,72546108,0
1380931200,0.0103753,81112952,0
1381017600,0.00933073,72946619,0
1381104000,0.00971878,75980351,0
1381190400,0.00944168,73814014,0
1381276800,0.010089,78874690,0
1381363200,0.00906698,70884650,0
1381449600,0.00891616,69705556,0
1381536000,0.00889263,69521601,0
1381622400,0.00853884,66755710,0
1381708800,0.00798699,62441408,0
1381795200,0.00758473,59296583,0
1381881600,0.00776452,60702162,0
1381968000,0.00776709,60722254,0
1382054400,0.00729291,57015167,0
1382140800,0.00753032,58871212,0
1382227200,0.00674171,52705946,0
1382313600,0.00678454,53040786,0
1382400000,0.0074298,58085358,0
1382486400,0.00872816,68235793,0
1382572800,0.00693994,54255686,0
1382659200,0.00630711,49308291,0
1382745600,0.00664484,51948627,0
1382832000,0.0063276,49468479,0
1382918400,0.00593466,46396518,0
1383004800,0.00605789,47359916,0
1383091200,0.00599734,46886543,0
1383177600,0.00618308,48338638,0
1383264000,0.00653112,51059576,0
1383350400,0.00715258,55918082,0
1383436800,0.00719038,56213598,0
1383523200,0.0069937,54675976,0
1383609600,0.00775965,60664089,0
1383696000,0.00889267,69521914,0
1383782400,0.0105597,82554571,0
1383868800,0.00881359,68903675,0
1383955200,0.00837478,65473107,0
1384041600,0.00892624,69784361,0
1384128000,0.0105099,82165240,0
1384214400,0.00987478,77199942,0
1384300800,0.0096295,75282370,0
1384387200,0.00998194,78037707,0
